anio,tipo_ingreso,region,ingreso_nominal,ingreso_real_nov2024,error_estandar_nominal,error_estandar_real
2017,Ingreso autónomo,Atacama,881553.69554757,1263266.445719668,47678.34911906275,68323.07428761692
2020,Ingreso autónomo,Atacama,914925.1914469503,1207701.2527099745,45592.17116627272,60181.66593947997
2022,Ingreso autónomo,Atacama,1049217.5534119925,1145745.568325896,36143.23932645403,39468.4173444878
2024,Ingreso autónomo,Atacama,1279467.8276326982,1279467.8276326982,30080.005812160565,30080.005812160565
2006,Ingreso autónomo,Coquimbo,380949.84389653086,801899.421402198,35095.18664539109,73875.36788854822
2009,Ingreso autónomo,Coquimbo,414491.5642316881,763078.9697505375,20444.55281849274,37638.421738845165
2011,Ingreso autónomo,Coquimbo,486381.4406698426,839980.7480368187,18605.49190089177,32131.684512840082
2013,Ingreso autónomo,Coquimbo,654851.326498475,1081814.3913754814,23850.298151716244,39400.69254663524
2015,Ingreso autónomo,Coquimbo,712294.2466092955,1071290.5469003785,22265.799271027514,33487.762103625355
2017,Ingreso autónomo,Coquimbo,662681.3472615607,949622.370625817,60347.25211565029,86477.61228172685
2020,Ingreso autónomo,Coquimbo,733266.0386039512,967911.1709572156,33879.852009241775,44721.40465219915
2022,Ingreso autónomo,Coquimbo,1008078.5587195763,1100821.7861217775,39481.91768902153,43114.25411641151
2024,Ingreso autónomo,Coquimbo,1111283.903245975,1111283.903245975,27240.407569573712,27240.407569573712
2006,Ingreso autónomo,Valparaíso,414982.74249048915,873538.6729424802,14720.063557933983,30985.733789451027
2009,Ingreso autónomo,Valparaíso,506232.8102081683,931974.603593238,28541.516088636374,52544.93111917959
2011,Ingreso autónomo,Valparaíso,533850.9624906908,921960.6122214238,17334.178831694608,29936.126842336587
2013,Ingreso autónomo,Valparaíso,686247.786753621,1133681.3437169795,28039.925237861866,46321.95649294782
2015,Ingreso autónomo,Valparaíso,769980.9296739852,1158051.318229677,22719.773153959413,34170.53882355495
2017,Ingreso autónomo,Valparaíso,874306.2451431,1252880.8492900643,22875.747451546085,32780.94609806556
2020,Ingreso autónomo,Valparaíso,831657.8940722009,1097788.420175304,26468.364822761818,34938.24156604559
2022,Ingreso autónomo,Valparaíso,1041993.6470996359,1137857.0626328036,20433.727665024315,22313.63061020654
2024,Ingreso autónomo,Valparaíso,1236410.2637148271,1236410.2637148271,25450.13080823848,25450.13080823848
2006,Ingreso autónomo,Metropolitana,647364.8792967516,1362703.0709196627,20484.225058288604,43119.29374769752
2009,Ingreso autónomo,Metropolitana,770317.9114442305,1418155.2749688271,24292.218524111137,44721.97430288868
2011,Ingreso autónomo,Metropolitana,803436.5619012536,1387534.9424034653,29541.77297652907,51018.641930465725
